Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Банк ВТБ (ПАО),2007,2,7.61,14.561383898598601,3.3,18.02,2.3,1.6,130.22,21.85,18.9,60.12,240.45,30.55,55.3,Частный,Пик,0
Банк ВТБ (ПАО),2007,3,7.37,14.614921411716676,3.5,18.02,2.3,1.6,130.22,21.85,18.9,60.12,240.45,30.55,55.3,Частный,Пик,0
Банк ВТБ (ПАО),2007,4,7.6,10.045296058572362,5.7,18.02,2.3,1.6,130.22,21.85,18.9,60.12,240.45,30.55,55.3,Частный,Пик,0
Газпромбанк (АО),2007,1,8.2,-9.359373784510982,3.3,14.1,0.85,1.85,80.75,20.6,2.55,110.3,165.8,16.5,42.95,Частный,Пик,0
Газпромбанк (АО),2007,2,7.61,14.561383898598601,3.3,14.1,0.85,1.85,80.75,20.6,2.55,110.3,165.8,16.5,42.95,Частный,Пик,0
Газпромбанк (АО),2007,3,7.37,14.614921411716676,3.5,14.1,0.85,1.85,80.75,20.6,2.55,110.3,165.8,16.5,42.95,Частный,Пик,0
Газпромбанк (АО),2007,4,7.6,10.045296058572362,5.7,14.1,0.85,1.85,80.75,20.6,2.55,110.3,165.8,16.5,42.95,Частный,Пик,0
Россельхозбанк (АО),2007,1,8.2,-9.359373784510982,3.3,17.5,1.1,0.75,110.75,17.5,0.3,50.2,180.75,17.4,25.6,Частный,Пик,0
Россельхозбанк (АО),2007,2,7.61,14.561383898598601,3.3,17.5,1.1,0.75,110.75,17.5,0.3,50.2,180.75,17.4,25.6,Частный,Пик,0
Россельхозбанк (АО),2007,3,7.37,14.614921411716676,3.5,17.5,1.1,0.75,110.75,17.5,0.3,50.2,180.75,17.4,25.6,Частный,Пик,0
Россельхозбанк (АО),2007,4,7.6,10.045296058572362,5.7,17.5,1.1,0.75,110.75,17.5,0.3,50.2,180.75,17.4,25.6,Частный,Пик,0
