Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Банк 13,2009,3,13.98,12.617920329998533,6.5,8.7,16.5,-0.8,59.5,21.5,2.8,-97.2,135.3,44,-142.5,Частный,Дно,1
Банк 13,2009,4,13.16,3.890846860429842,5.8,8.7,16.5,-0.8,59.5,21.5,2.8,-97.2,135.3,44,-142.5,Частный,Дно,1
Банк 14,2009,1,13.35,-21.511101090472806,16.3,10.2,12.5,-4.6,51.7,20.5,1.5,-21.5,148.8,43.9,-41.2,Частный,Дно,1
Банк 14,2009,2,13.85,10.920649567662476,8.6,10.2,12.5,-4.6,51.7,20.5,1.5,-21.5,148.8,43.9,-41.2,Частный,Дно,1
Банк 14,2009,3,13.98,12.617920329998533,6.5,10.2,12.5,-4.6,51.7,20.5,1.5,-21.5,148.8,43.9,-41.2,Частный,Дно,1
Банк 14,2009,4,13.16,3.890846860429842,5.8,10.2,12.5,-4.6,51.7,20.5,1.5,-21.5,148.8,43.9,-41.2,Частный,Дно,1
Банк 15,2009,1,13.35,-21.511101090472806,16.3,11.9,2.1,-0.6,152.1,21.3,2,4,97.3,28.8,-20.1,Частный,Дно,0
Банк 15,2009,2,13.85,10.920649567662476,8.6,11.9,2.1,-0.6,152.1,21.3,2,4,97.3,28.8,-20.1,Частный,Дно,0
Банк 15,2009,3,13.98,12.617920329998533,6.5,11.9,2.1,-0.6,152.1,21.3,2,4,97.3,28.8,-20.1,Частный,Дно,0
Банк 15,2009,4,13.16,3.890846860429842,5.8,11.9,2.1,-0.6,152.1,21.3,2,4,97.3,28.8,-20.1,Частный,Дно,0
Банк 16,2009,1,13.35,-21.511101090472806,16.3,8.9,13.1,-3.5,44.6,20.7,1.8,-30.5,126.7,34.3,-179.4,Частный,Дно,1
Банк 16,2009,2,13.85,10.920649567662476,8.6,8.9,13.1,-3.5,44.6,20.7,1.8,-30.5,126.7,34.3,-179.4,Частный,Дно,1
Банк 16,2009,3,13.98,12.617920329998533,6.5,8.9,13.1,-3.5,44.6,20.7,1.8,-30.5,126.7,34.3,-179.4,Частный,Дно,1
Банк 16,2009,4,13.16,3.890846860429842,5.8,8.9,13.1,-3.5,44.6,20.7,1.8,-30.5,126.7,34.3,-179.4,Частный,Дно,1
Банк 17,2009,1,13.35,-21.511101090472806,16.3,11.3,1.1,1.2,156.7,23.1,5.8,12.5,63.3,14.8,6.1,Частный,Дно,0
Банк 17,2009,2,13.85,10.920649567662476,8.6,11.3,1.1,1.2,156.7,23.1,5.8,12.5,63.3,14.8,6.1,Частный,Дно,0
Банк 17,2009,3,13.98,12.617920329998533,6.5,11.3,1.1,1.2,156.7,23.1,5.8,12.5,63.3,14.8,6.1,Частный,Дно,0
Банк 17,2009,4,13.16,3.890846860429842,5.8,11.3,1.1,1.2,156.7,23.1,5.8,12.5,63.3,14.8,6.1,Частный,Дно,0
Банк 18,2009,1,13.35,-21.511101090472806,16.3,8.7,17.4,-4.7,53.7,20.3,1.1,-85.1,126.5,35.8,-108.6,Частный,Дно,1
